score	action	description	validity_rate	avg_relevance	exp_seconds	prompt
0.0	discard	Add exact JSON template	0.0	0.0	190.041842287	"Given a topic, output ONLY exactly this JSON with five related search queries: [""query1"",""query2"",""query3"",""query4"",""query5""]"
0.010773809646305284	keep	Remove placeholders to avoid literal output	0.013157894736842105	0.8188095331192017	235.196684705	Given a topic, output ONLY a JSON array of exactly five related search queries.
0.0	discard	Add exact JSON array format example	0.0	0.0	102.39424446	"Given a topic, output ONLY a JSON array of exactly five related search queries like: [""query1"",""query2"",""query3"",""query4"",""query5""]"
0.010727580126963163	discard	Remove literal example to prevent copying	0.013157894736842105	0.8152960896492004	234.421213702	Given a topic, output ONLY a JSON array of exactly five related search queries.
0.10481511589727904	keep	Add explicit JSON array format	0.13157894736842105	0.7965948808193207	215.100337641	"Given a topic, output ONLY a JSON array like [""query1"",""query2"",""query3"",""query4"",""query5""] of exactly five related search queries."
0.010727580126963163	discard	Delete example to avoid literal copy	0.013157894736842105	0.8152960896492004	236.034913778	Given a topic, output ONLY a JSON array of exactly five related search queries.
0.7189032344441665	keep	Add explicit JSON array format	0.9078947368421053	0.7918354466341544	625.421892518	"Given a topic, output ONLY this JSON: [""query1"",""query2"",""query3"",""query4"",""query5""] with five related search queries. Nothing else."
0.6438752500634444	discard	Add 'exactly' before five for precision	0.8157894736842105	0.7892664355616416	575.310419855	"Given a topic, output ONLY this JSON: [""q1"",""q2"",""q3"",""q4"",""q5""] with exactly five related search queries. Nothing else."
0.05617705238492865	discard	Lead with direct 'Output ONLY' and shorten	0.06578947368421052	0.8538911962509155	158.869591143	"Output ONLY [""q1"",""q2"",""q3"",""q4"",""q5""] with exactly five related search queries for the topic. Nothing else."
0.5553200215101242	discard	Remove literal placeholder example	0.6973684210526315	0.7963079553730082	491.588975405	Output ONLY a JSON array of exactly five related search queries for the topic. No markdown, no code blocks. Nothing else.
0.18715510180121975	discard	Provide JSON array skeleton template	0.2631578947368421	0.7111893868446351	366.535246687	"Output ONLY this exact JSON array filled with 5 relevant search queries for the topic: [""query1"",""query2"",""query3"",""query4"",""query5""]"
0.3637232876921955	discard	Add 'no other text' instruction	0.5	0.727446575384391	410.15854736	"Output ONLY this exact JSON array filled with 5 relevant search queries for the topic: [""query1"",""query2"",""query3"",""query4"",""query5""] Do not include any other text."
0.5300355850865967	discard	Obvious placeholders to prevent literal copy	0.6973684210526315	0.7600510276713461	546.422665029	"Output ONLY this exact JSON array filled with exactly 5 relevant search queries for the topic: [""RELEVANT_QUERY_1"",""RELEVANT_QUERY_2"",""RELEVANT_QUERY_3"",""RELEVANT_QUERY_4"",""RELEVANT_QUERY_5""] Do not include any other text."
0.7229622247187715	keep	Lowercase generic placeholders, delete redundant text	0.9210526315789473	0.7849304154089519	622.267773198	"Output ONLY a JSON array of exactly 5 relevant search queries for the topic: [""query1"",""query2"",""query3"",""query4"",""query5""] Do not include any other text."
0.47069438562581406	discard	Remove placeholder example	0.5921052631578947	0.7949505179458194	428.974540314	Output ONLY a JSON array of exactly 5 relevant search queries for the topic. Do not include any other text.
0.36964158643233147	discard	Shorten placeholders to q1-q5 for clarity	0.5394736842105263	0.6851892821672486	499.744205467	"Output ONLY valid JSON: [""q1"", ""q2"", ""q3"", ""q4"", ""q5""] with exactly 5 relevant search queries for the topic. No other text."
0.6082432979031613	discard	Remove example to boost relevance	0.8026315789473685	0.7578113219777092	545.407156668	Output ONLY valid JSON array of exactly 5 relevant search queries for the topic. No other text.
0.37581071830109547	discard	Add 'valid JSON array of exactly 5'	0.47368421052631576	0.7933781830800904	344.064837559	"Output ONLY a valid JSON array of exactly 5 relevant search queries for the topic: [""query1"",""query2"",""query3"",""query4"",""query5""]. No other text."
0.7005188638050306	discard	Separate topic from JSON example format	0.9078947368421053	0.7715859949156858	609.516238208	"Output ONLY a valid JSON array of exactly 5 relevant search queries for the topic. Example: [""a"",""b"",""c"",""d"",""e""]. No other text."
0.5850349332941205	discard	Delete redundant example	0.7763157894736842	0.7536043208534434	534.488606729	Output ONLY a valid JSON array of exactly 5 relevant search queries for the topic. No other text.
0.667532085470463	discard	Specify 'strings' for JSON clarity	0.8947368421052632	0.7460652719963999	607.407720974	Output ONLY a valid JSON array of exactly 5 strings: relevant search queries for the topic. No other text.
0.719073025803817	discard	Add example JSON array format	0.8947368421052632	0.8036698523689719	587.766131697	"Output ONLY exactly a valid JSON array of five relevant search queries for the topic, like [""q1"",""q2"",""q3"",""q4"",""q5""]. No other text."
0.6243864108073084	discard	Specify 'strings' explicitly in array	0.8289473684210527	0.753228051132626	583.249784406	Output ONLY exactly a valid JSON array of five relevant search query strings for the topic. No other text.
0.574964468494842	discard	Add 'containing exactly five' for precision	0.7631578947368421	0.7534017173380687	539.415842978	Output ONLY exactly a valid JSON array containing five relevant search query strings for the topic. No other text.
0.20342020902194477	discard	Add 'valid JSON array of exactly 5'	0.27631578947368424	0.7361874231270381	213.284064974	"Output ONLY a valid JSON array of exactly 5 relevant search queries for the topic: [""q1"",""q2"",""q3"",""q4"",""q5""]. No other text."
0.5850349332941205	discard	Remove dummy topic placeholder	0.7763157894736842	0.7536043208534434	527.624130719	Output ONLY a valid JSON array of exactly 5 relevant search queries for the topic. No other text.
0.47920540994719457	discard	Add JSON array template for tiny LLM	0.5789473684210527	0.827718435363336	431.498927698	"Output ONLY: [""query1"", ""query2"", ""query3"", ""query4"", ""query5""] with exactly 5 relevant search queries for the topic. No other text."
0.6199139798158093	discard	Specify valid JSON array explicitly	0.8947368421052632	0.692845036264728	646.643341041	"Output ONLY a valid JSON array: [""query1"", ""query2"", ""query3"", ""query4"", ""query5""] with exactly 5 relevant search queries for the topic. No other text."
0.6201228032770909	discard	Remove redundant 'no markdown' clause	0.8947368421052632	0.6930784271920428	646.847281113	"Output ONLY a valid JSON array: [""query1"", ""query2"", ""query3"", ""query4"", ""query5""] with exactly 5 relevant search queries for the topic. No other text."
0.6583969130327828	discard	Add 'distinct' to ensure unique queries	0.9078947368421053	0.7251908027607462	638.393767989	"Output ONLY a valid JSON array: [""query1"", ""query2"", ""query3"", ""query4"", ""query5""] with exactly 5 distinct relevant search queries for the topic. No other text."
0.5843976819985791	discard	Remove potentially confusing query placeholders	0.7368421052631579	0.7931111398552145	505.513178635	Output ONLY a valid JSON array of exactly 5 distinct relevant search queries for the topic. No other text.
0.5963814177011189	discard	Add 'valid JSON array' emphasis	0.7894736842105263	0.7554164624214172	641.102932405	"Output ONLY this valid JSON array format with exactly 5 distinct relevant search queries for the topic: [""query1"", ""query2"", ""query3"", ""query4"", ""query5""]. No other text."
0.6731854038803201	discard	Add exact JSON array format example	0.8289473684210527	0.8120966776968941	557.954498596	"Respond with EXACTLY this JSON array of 5 distinct relevant search queries for the topic and NOTHING ELSE:
[""query1"",""query2"",""query3"",""query4"",""query5""]"
0.5440642353735472	discard	Add 'exactly 5' emphasis	0.6842105263157895	0.7951708055459537	476.931366141	"Respond with EXACTLY this JSON array of exactly 5 distinct relevant search queries for the topic and NOTHING ELSE:
[""query1"",""query2"",""query3"",""query4"",""query5""]"
0.5378974921609225	discard	Descriptive placeholders: 'search query 1' etc	0.6710526315789473	0.8015727334162768	484.406092896	"Respond with EXACTLY this JSON array of exactly 5 distinct relevant search queries for the topic and NOTHING ELSE:
[""search query 1"",""search query 2"",""search query 3"",""search query 4"",""search query 5""]"
